composite_key,tier,subscriber_count,avg_churn_rate,avg_arpu,avg_watch_hours,avg_cac
dormant_subscribers|tvod_inclined_buyers|deal_responsive_acquirers,ad_supported,60,0.1145,6.09,54.8,23.67
dormant_subscribers|tvod_inclined_buyers|value_perception_buyers,ad_supported,42,0.115,5.98,54.3,22.22
habitual_streamers|ad_value_seekers|platform_bundled_acquirers,ad_free,310,0.1882,7.99,26.4,5.33
habitual_streamers|ad_value_seekers|tvod_to_svod_converters,ad_free,244,0.1728,7.19,29.6,5.33
habitual_streamers|ad_value_seekers|content_triggered_buyers,ad_free,288,0.1867,6.79,25.6,5.89
habitual_streamers|ad_value_seekers|deal_responsive_acquirers,ad_free,198,0.195,7.43,25.2,5.12
habitual_streamers|ad_value_seekers|value_perception_buyers,ad_free,315,0.1904,7.19,26.8,6.63
habitual_streamers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_free,332,0.1312,6.87,46.6,6.15
habitual_streamers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_free,163,0.1386,8.79,41.0,6.32
habitual_streamers|ad_tolerant_upgraders|content_triggered_buyers,ad_free,246,0.1284,8.63,47.9,6.71
habitual_streamers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_free,254,0.1399,8.79,47.5,6.53
habitual_streamers|ad_tolerant_upgraders|value_perception_buyers,ad_free,168,0.1352,9.11,47.9,5.85
habitual_streamers|ad_free_loyalists|platform_bundled_acquirers,ad_free,303,0.0909,8.95,97.8,6.41
habitual_streamers|ad_free_loyalists|tvod_to_svod_converters,ad_free,152,0.0905,7.03,90.2,6.84
habitual_streamers|ad_free_loyalists|content_triggered_buyers,ad_free,238,0.0893,8.63,92.2,6.01
habitual_streamers|ad_free_loyalists|deal_responsive_acquirers,ad_free,269,0.0882,8.87,104.7,5.34
habitual_streamers|ad_free_loyalists|value_perception_buyers,ad_free,290,0.0865,8.71,106.1,5.94
habitual_streamers|price_triggered_downgraders|platform_bundled_acquirers,ad_free,199,0.167,7.35,31.1,5.34
habitual_streamers|price_triggered_downgraders|tvod_to_svod_converters,ad_free,95,0.1781,8.71,28.9,5.8
habitual_streamers|price_triggered_downgraders|content_triggered_buyers,ad_free,121,0.1628,8.15,29.6,6.07
habitual_streamers|price_triggered_downgraders|deal_responsive_acquirers,ad_free,107,0.1598,7.51,34.1,5.18
habitual_streamers|price_triggered_downgraders|value_perception_buyers,ad_free,149,0.1693,8.23,30.3,5.69
habitual_streamers|tvod_inclined_buyers|platform_bundled_acquirers,ad_free,200,0.1134,7.43,51.1,6.22
habitual_streamers|tvod_inclined_buyers|tvod_to_svod_converters,ad_free,94,0.1119,8.07,51.0,6.81
habitual_streamers|tvod_inclined_buyers|content_triggered_buyers,ad_free,121,0.1207,7.99,52.4,6.75
habitual_streamers|tvod_inclined_buyers|deal_responsive_acquirers,ad_free,179,0.112,6.87,52.3,5.94
habitual_streamers|tvod_inclined_buyers|value_perception_buyers,ad_free,190,0.118,8.71,57.3,6.17
content_anchored_viewers|ad_value_seekers|platform_bundled_acquirers,ad_free,277,0.1874,7.11,29.6,9.95
content_anchored_viewers|ad_value_seekers|tvod_to_svod_converters,ad_free,151,0.1806,8.39,26.3,9.84
content_anchored_viewers|ad_value_seekers|content_triggered_buyers,ad_free,191,0.1961,8.79,25.7,8.17
content_anchored_viewers|ad_value_seekers|deal_responsive_acquirers,ad_free,276,0.192,8.71,29.1,7.94
content_anchored_viewers|ad_value_seekers|value_perception_buyers,ad_free,192,0.1789,8.55,27.2,9.87
content_anchored_viewers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_free,206,0.1279,7.59,45.4,9.93
content_anchored_viewers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_free,113,0.1348,7.99,49.4,9.99
content_anchored_viewers|ad_tolerant_upgraders|content_triggered_buyers,ad_free,190,0.1262,6.79,42.9,8.63
content_anchored_viewers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_free,194,0.1371,8.95,49.8,8.3
content_anchored_viewers|ad_tolerant_upgraders|value_perception_buyers,ad_free,152,0.1283,7.35,45.3,7.78
content_anchored_viewers|ad_free_loyalists|platform_bundled_acquirers,ad_free,193,0.0888,7.91,96.6,9.9
content_anchored_viewers|ad_free_loyalists|tvod_to_svod_converters,ad_free,130,0.0895,7.67,92.9,8.13
content_anchored_viewers|ad_free_loyalists|content_triggered_buyers,ad_free,180,0.0859,7.27,92.5,10.01
content_anchored_viewers|ad_free_loyalists|deal_responsive_acquirers,ad_free,148,0.0857,8.07,98.3,9.77
content_anchored_viewers|ad_free_loyalists|value_perception_buyers,ad_free,217,0.089,6.79,105.6,9.05
content_anchored_viewers|price_triggered_downgraders|platform_bundled_acquirers,ad_free,125,0.1647,8.63,31.7,8.58
content_anchored_viewers|price_triggered_downgraders|tvod_to_svod_converters,ad_free,85,0.1718,7.99,29.2,7.67
content_anchored_viewers|price_triggered_downgraders|content_triggered_buyers,ad_free,87,0.1667,8.79,28.9,8.78
content_anchored_viewers|price_triggered_downgraders|deal_responsive_acquirers,ad_free,136,0.1632,7.59,30.2,8.42
content_anchored_viewers|price_triggered_downgraders|value_perception_buyers,ad_free,122,0.1817,6.79,30.7,9.77
content_anchored_viewers|tvod_inclined_buyers|platform_bundled_acquirers,ad_free,149,0.1173,6.87,51.5,9.17
content_anchored_viewers|tvod_inclined_buyers|tvod_to_svod_converters,ad_free,113,0.1155,8.95,53.9,8.67
content_anchored_viewers|tvod_inclined_buyers|content_triggered_buyers,ad_free,144,0.1232,6.87,60.3,9.4
content_anchored_viewers|tvod_inclined_buyers|deal_responsive_acquirers,ad_free,161,0.113,6.79,59.2,10.1
content_anchored_viewers|tvod_inclined_buyers|value_perception_buyers,ad_free,89,0.1154,8.55,52.1,10.02
at_risk_lapsers|ad_value_seekers|platform_bundled_acquirers,ad_free,135,0.1773,8.39,27.1,17.35
at_risk_lapsers|ad_value_seekers|tvod_to_svod_converters,ad_free,82,0.1893,8.95,28.0,16.61
at_risk_lapsers|ad_value_seekers|content_triggered_buyers,ad_free,105,0.1783,7.27,28.2,16.4
at_risk_lapsers|ad_value_seekers|deal_responsive_acquirers,ad_free,111,0.1979,8.55,28.2,15.65
at_risk_lapsers|ad_value_seekers|value_perception_buyers,ad_free,139,0.1909,8.47,25.2,19.02
at_risk_lapsers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_free,137,0.1364,9.11,46.7,20.09
at_risk_lapsers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_free,84,0.1328,8.95,43.6,15.88
at_risk_lapsers|ad_tolerant_upgraders|content_triggered_buyers,ad_free,123,0.1251,7.83,41.4,16.29
at_risk_lapsers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_free,153,0.1332,7.03,43.5,18.53
at_risk_lapsers|ad_tolerant_upgraders|value_perception_buyers,ad_free,140,0.1337,8.55,44.5,19.64
at_risk_lapsers|ad_free_loyalists|platform_bundled_acquirers,ad_free,197,0.0844,8.47,97.3,17.2
at_risk_lapsers|ad_free_loyalists|tvod_to_svod_converters,ad_free,108,0.0841,6.79,106.4,18.76
at_risk_lapsers|ad_free_loyalists|content_triggered_buyers,ad_free,104,0.0888,8.71,91.6,18.66
at_risk_lapsers|ad_free_loyalists|deal_responsive_acquirers,ad_free,108,0.0869,7.67,94.1,18.09
at_risk_lapsers|ad_free_loyalists|value_perception_buyers,ad_free,150,0.0888,7.59,108.2,17.27
at_risk_lapsers|price_triggered_downgraders|platform_bundled_acquirers,ad_free,108,0.1744,7.03,28.3,17.79
at_risk_lapsers|price_triggered_downgraders|tvod_to_svod_converters,ad_free,49,0.1753,6.79,28.6,19.6
at_risk_lapsers|price_triggered_downgraders|content_triggered_buyers,ad_free,46,0.1725,7.99,33.2,16.17
at_risk_lapsers|price_triggered_downgraders|deal_responsive_acquirers,ad_free,91,0.159,7.91,34.3,17.63
at_risk_lapsers|price_triggered_downgraders|value_perception_buyers,ad_free,74,0.1627,7.83,29.0,18.03
at_risk_lapsers|tvod_inclined_buyers|platform_bundled_acquirers,ad_free,88,0.1133,8.95,50.5,17.29
at_risk_lapsers|tvod_inclined_buyers|tvod_to_svod_converters,ad_free,70,0.1131,7.51,54.2,16.97
at_risk_lapsers|tvod_inclined_buyers|content_triggered_buyers,ad_free,76,0.1116,8.63,60.8,18.69
at_risk_lapsers|tvod_inclined_buyers|deal_responsive_acquirers,ad_free,95,0.1212,8.71,56.2,19.23
at_risk_lapsers|tvod_inclined_buyers|value_perception_buyers,ad_free,57,0.1213,9.11,57.2,17.88
promo_only_users|ad_value_seekers|platform_bundled_acquirers,ad_free,222,0.1845,6.79,29.5,29.4
promo_only_users|ad_value_seekers|tvod_to_svod_converters,ad_free,156,0.1862,8.15,30.0,31.26
promo_only_users|ad_value_seekers|content_triggered_buyers,ad_free,172,0.1966,7.35,28.8,25.71
promo_only_users|ad_value_seekers|deal_responsive_acquirers,ad_free,204,0.1786,7.83,29.7,30.88
promo_only_users|ad_value_seekers|value_perception_buyers,ad_free,118,0.1924,8.07,29.2,28.77
promo_only_users|ad_tolerant_upgraders|platform_bundled_acquirers,ad_free,208,0.1394,7.99,46.4,34.37
promo_only_users|ad_tolerant_upgraders|tvod_to_svod_converters,ad_free,142,0.1262,6.79,43.4,32.69
promo_only_users|ad_tolerant_upgraders|content_triggered_buyers,ad_free,133,0.1396,8.63,42.2,26.92
promo_only_users|ad_tolerant_upgraders|deal_responsive_acquirers,ad_free,191,0.1332,7.75,48.5,30.95
promo_only_users|ad_tolerant_upgraders|value_perception_buyers,ad_free,181,0.1359,7.67,41.3,28.32
promo_only_users|ad_free_loyalists|platform_bundled_acquirers,ad_free,203,0.086,7.19,96.4,25.7
promo_only_users|ad_free_loyalists|tvod_to_svod_converters,ad_free,140,0.0859,7.35,96.5,32.39
promo_only_users|ad_free_loyalists|content_triggered_buyers,ad_free,146,0.0887,8.79,106.2,26.81
promo_only_users|ad_free_loyalists|deal_responsive_acquirers,ad_free,188,0.0847,7.11,107.2,27.15
promo_only_users|ad_free_loyalists|value_perception_buyers,ad_free,132,0.0853,7.83,101.2,29.73
promo_only_users|price_triggered_downgraders|platform_bundled_acquirers,ad_free,133,0.1625,8.63,32.5,33.09
promo_only_users|price_triggered_downgraders|tvod_to_svod_converters,ad_free,54,0.1641,9.11,29.2,29.55
promo_only_users|price_triggered_downgraders|content_triggered_buyers,ad_free,91,0.1752,7.27,33.0,26.6
promo_only_users|price_triggered_downgraders|deal_responsive_acquirers,ad_free,125,0.1766,7.51,32.5,27.86
promo_only_users|price_triggered_downgraders|value_perception_buyers,ad_free,77,0.1781,7.67,33.4,29.47
promo_only_users|tvod_inclined_buyers|platform_bundled_acquirers,ad_free,158,0.1142,8.95,59.4,25.85
promo_only_users|tvod_inclined_buyers|tvod_to_svod_converters,ad_free,71,0.1202,9.11,53.1,26.67
promo_only_users|tvod_inclined_buyers|content_triggered_buyers,ad_free,106,0.1155,8.31,59.1,27.1
promo_only_users|tvod_inclined_buyers|deal_responsive_acquirers,ad_free,115,0.119,7.27,54.0,29.5
promo_only_users|tvod_inclined_buyers|value_perception_buyers,ad_free,97,0.1148,6.95,60.0,25.95
dormant_subscribers|ad_value_seekers|platform_bundled_acquirers,ad_free,128,0.178,7.75,25.5,19.81
dormant_subscribers|ad_value_seekers|tvod_to_svod_converters,ad_free,68,0.18,7.19,30.4,21.54
dormant_subscribers|ad_value_seekers|content_triggered_buyers,ad_free,83,0.19,8.23,28.5,19.94
dormant_subscribers|ad_value_seekers|deal_responsive_acquirers,ad_free,109,0.1841,8.47,28.5,23.71
dormant_subscribers|ad_value_seekers|value_perception_buyers,ad_free,71,0.1959,7.59,28.7,20.78
dormant_subscribers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_free,70,0.1344,8.15,41.4,24.63
dormant_subscribers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_free,58,0.1323,7.51,47.6,20.16
dormant_subscribers|ad_tolerant_upgraders|content_triggered_buyers,ad_free,73,0.1318,8.23,48.1,24.75
dormant_subscribers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_free,63,0.1252,7.03,45.5,25.47
dormant_subscribers|ad_tolerant_upgraders|value_perception_buyers,ad_free,74,0.132,8.47,49.9,24.98
dormant_subscribers|ad_free_loyalists|platform_bundled_acquirers,ad_free,70,0.0841,6.95,109.7,20.36
dormant_subscribers|ad_free_loyalists|tvod_to_svod_converters,ad_free,56,0.0861,9.03,94.1,23.83
dormant_subscribers|ad_free_loyalists|content_triggered_buyers,ad_free,71,0.0855,8.31,102.3,19.3
dormant_subscribers|ad_free_loyalists|deal_responsive_acquirers,ad_free,78,0.0853,7.83,103.3,21.93
dormant_subscribers|ad_free_loyalists|value_perception_buyers,ad_free,55,0.0877,8.71,99.9,22.09
dormant_subscribers|price_triggered_downgraders|platform_bundled_acquirers,ad_free,43,0.169,7.75,29.9,22.24
dormant_subscribers|price_triggered_downgraders|tvod_to_svod_converters,ad_free,37,0.1696,9.11,33.4,25.44
dormant_subscribers|price_triggered_downgraders|content_triggered_buyers,ad_free,29,0.1723,7.43,32.9,20.37
dormant_subscribers|price_triggered_downgraders|deal_responsive_acquirers,ad_free,45,0.1704,8.95,30.7,20.61
dormant_subscribers|price_triggered_downgraders|value_perception_buyers,ad_free,40,0.1782,7.99,33.7,24.44
dormant_subscribers|tvod_inclined_buyers|platform_bundled_acquirers,ad_free,56,0.1241,7.19,51.1,23.59
dormant_subscribers|tvod_inclined_buyers|tvod_to_svod_converters,ad_free,49,0.1209,8.47,50.7,21.98
dormant_subscribers|tvod_inclined_buyers|content_triggered_buyers,ad_free,48,0.1118,7.67,57.8,23.8
dormant_subscribers|tvod_inclined_buyers|deal_responsive_acquirers,ad_free,48,0.1127,8.87,51.7,20.15
dormant_subscribers|tvod_inclined_buyers|value_perception_buyers,ad_free,46,0.123,8.71,57.3,19.97
